gene,term
PV2T_000676,1239565
PV2T_000677,1239565
PV2T_000678,1239565
PV2T_000679,1239565
PV2T_000680,1239565
PV2T_000681,1239565
PV2T_000682,1239565
PV2T_000683,1239565
PV2T_000684,1239565
PV2T_000685,1239565
PV2T_000686,1239565
PV2T_000687,1239565
PV2T_000688,1239565
PV2T_000689,1239565
PV2T_000690,1239565
PV2T_000691,1239565
PV2T_000692,1239565
PV2T_000693,1239565
PV2T_000694,1239565
PV2T_000695,1239565
PV2T_000696,1239565
PV2T_000697,1239565
PV2T_000698,1239565
PV2T_000699,1239565
PV2T_000700,1239565
PV2T_000701,1239565
PV2T_000702,1239565
PV2T_000703,1239565
PV2T_000704,1239565
PV2T_000705,1239565
PV2T_000706,1239565
PV2T_000707,1239565
PV2T_000708,1239565
PV2T_000709,1239565
PV2T_000710,1239565
PV2T_000711,1239565
PV2T_000712,1239565
PV2T_000713,1239565
PV2T_000714,1239565
PV2T_000715,1239565
PV2T_000716,1239565
PV2T_000717,1239565
PV2T_000718,1239565
PV2T_000719,1239565
PV2T_000720,1239565
PV2T_000721,1239565
PV2T_000722,1239565
PV2T_000723,1239565
PV2T_000724,1239565
PV2T_000725,1239565
PV2T_000726,1239565
PV2T_000727,1239565
PV2T_000728,1239565
PV2T_000729,1239565
PV2T_000730,1239565
PV2T_000731,1239565
PV2T_000732,1239565
PV2T_000733,1239565
PV2T_000734,1239565
PV2T_000735,1239565
PV2T_000736,1239565
PV2T_000737,1239565
PV2T_000738,1239565
PV2T_000739,1239565
PV2T_000740,1239565
PV2T_000741,1239565
PV2T_000742,1239565
PV2T_000743,1239565
PV2T_000744,1239565
PV2T_000745,11983
PV2T_000746,11983
PV2T_000747,11983
PV2T_000748,11983
PV2T_000749,11983
PV2T_000750,11983
PV2T_000751,11983
PV2T_000752,11983
PV2T_000753,11983
PV2T_000754,11983
PV2T_000755,11983
PV2T_000756,11983
PV2T_000757,11983
PV2T_000758,11983
PV2T_000759,11983
PV2T_000760,11983
PV2T_000761,11983
PV2T_000762,11983
PV2T_000763,11983
PV2T_000764,11983
PV2T_000765,11983
PV2T_000766,11983
PV2T_000767,11983
PV2T_000768,11983
PV2T_000769,11983
PV2T_000770,11983
PV2T_000771,11983
PV2T_000772,11983
PV2T_000773,11983
PV2T_000774,11983
PV2T_000775,11983
PV2T_000776,11983
PV2T_000777,11983
PV2T_000778,11983
PV2T_000779,11983
PV2T_000780,11983
PV2T_000781,11983
PV2T_000782,11983
PV2T_000783,11983
PV2T_000784,11983
PV2T_000785,11983
PV2T_000786,11983
PV2T_000787,11983
PV2T_000788,11983
PV2T_000789,11983
PV2T_000790,11983
PV2T_000791,11983
PV2T_000792,11983
PV2T_000793,11983
PV2T_000794,11983
PV2T_000795,11983
PV2T_000796,11983
PV2T_000797,11983
PV2T_000798,11983
PV2T_000799,11983
PV2T_000800,11983
PV2T_000801,11983
PV2T_000802,11983
PV2T_000803,11983
PV2T_000804,11983
PV2T_000805,11983
PV2T_000806,11983
PV2T_000807,11983
PV2T_000808,11983
PV2T_000809,11983
PV2T_000810,11983
PV2T_000811,11983
PV2T_000812,11983
PV2T_000813,11983
PV2T_000814,11983
PV2T_000815,11983
PV2T_000816,11983
PV2T_000817,11983
PV2T_000818,11983
PV2T_000819,11983
PV2T_000820,11983
PV2T_000821,11983
PV2T_000822,11983
PV2T_000823,11983
PV2T_000824,11983
PV2T_000825,11983
PV2T_000826,11983
PV2T_000827,11983
PV2T_000828,11983
PV2T_000829,11983
PV2T_000830,11983
PV2T_000831,11983
PV2T_000832,11983
PV2T_000833,11983
PV2T_000834,11983
PV2T_000835,11983
PV2T_000836,11983
PV2T_000837,11983
PV2T_000838,11983
PV2T_000839,11983
PV2T_000840,11983
PV2T_000841,11983
PV2T_000842,11983
PV2T_000843,11983
PV2T_000844,11983
PV2T_000845,11983
PV2T_000846,11983
PV2T_000847,11983
PV2T_000848,11983
PV2T_000849,11983
PV2T_000850,11983
PV2T_000851,11983
PV2T_000852,11983
PV2T_000853,11983
PV2T_000854,11983
PV2T_000855,11983
PV2T_000856,11983
PV2T_000857,11983
PV2T_000858,11983
PV2T_000859,11983
PV2T_000860,11983
PV2T_000861,11983
PV2T_000862,11983
PV2T_000863,11983
PV2T_000864,11983
PV2T_000865,11983
PV2T_000866,11983
PV2T_000867,11983
PV2T_000868,11983
PV2T_000869,11983
PV2T_000870,11983
PV2T_000871,11983
PV2T_000872,11983
PV2T_000873,11983
PV2T_000874,11983
PV2T_000875,11983
PV2T_000876,11983
PV2T_000877,11983
PV2T_000878,11983
PV2T_000879,11983
PV2T_000880,11983
PV2T_000881,11983
PV2T_000882,11983
PV2T_000883,11983
PV2T_000884,11983
PV2T_000885,11983
PV2T_000886,11983
PV2T_000887,11983
PV2T_000888,11983
PV2T_000889,11983
PV2T_000890,11983
PV2T_000891,11983
PV2T_000892,11983
