         term        gene
613     11983 PV2T_001112
614     11983 PV2T_001113
615     11983 PV2T_001114
616     11983 PV2T_014832
617     11983 PV2T_014833
618     11983 PV2T_014835
619     11983 PV2T_014836
620     11983 PV2T_014837
621     11983 PV2T_014839
622     11983 PV2T_014840
623     11983 PV2T_014841
624     11983 PV2T_014842
625     11983 PV2T_014843
626     11983 PV2T_014844
627     11983 PV2T_014845
628     11983 PV2T_014846
629     11983 PV2T_014847
630     11983 PV2T_014848
631     11983 PV2T_014849
632     11983 PV2T_014851
633     11983 PV2T_014852
634     11983 PV2T_014854
635     11983 PV2T_014856
636     11983 PV2T_014857
637     11983 PV2T_014859
638     11983 PV2T_014860
639     11983 PV2T_014861
640     11983 PV2T_014863
641     11983 PV2T_014864
642     11983 PV2T_014865
643     11983 PV2T_014866
644     11983 PV2T_014867
645     11983 PV2T_014868
646     11983 PV2T_014869
647     11983 PV2T_014871
648    129951 PV2T_000310
649    129951 PV2T_000311
650    129951 PV2T_000312
651    129951 PV2T_000313
652    129951 PV2T_000314
653    129951 PV2T_000315
654    129951 PV2T_000316
655    129951 PV2T_000317
656    129951 PV2T_000318
657    129951 PV2T_000319
658    129951 PV2T_000320
659    129951 PV2T_000321
660    129951 PV2T_000322
661    129951 PV2T_000323
662    129951 PV2T_000324
663    129951 PV2T_000325
664    129951 PV2T_000326
665    129951 PV2T_000327
666    129951 PV2T_000328
667    129951 PV2T_000329
668    129951 PV2T_000330
669    129951 PV2T_000331
670    129951 PV2T_000332
671    129951 PV2T_000333
672    129951 PV2T_000334
673    129951 PV2T_000335
674    129951 PV2T_000336
675    129951 PV2T_000337
676    129951 PV2T_000338
677    129951 PV2T_000339
678    129951 PV2T_000340
679    129951 PV2T_000341
680    129951 PV2T_000342
681    129951 PV2T_000343
682    129951 PV2T_000344
683    129951 PV2T_000345
684    129951 PV2T_000346
685    129951 PV2T_000347
686    129951 PV2T_000348
687    129951 PV2T_000349
688    129951 PV2T_000350
689    129951 PV2T_000351
690    129951 PV2T_000352
691    129951 PV2T_000353
692    129951 PV2T_000354
693    129951 PV2T_000355
694    129951 PV2T_000356
695    129951 PV2T_000357
696    129951 PV2T_000358
697    129951 PV2T_000359
698    129951 PV2T_000360
699    129951 PV2T_000361
700    129951 PV2T_000362
701    129951 PV2T_000363
702    129951 PV2T_000364
703    129951 PV2T_000365
704    129951 PV2T_000366
705    129951 PV2T_000367
706    129951 PV2T_000368
707    129951 PV2T_000369
708    129951 PV2T_000370
709    129951 PV2T_000371
710    129951 PV2T_000372
711    129951 PV2T_000373
712    129951 PV2T_000374
713    129951 PV2T_000375
714    129951 PV2T_000376
715    129951 PV2T_000377
716    129951 PV2T_000378
717    129951 PV2T_000379
718    129951 PV2T_000380
719    129951 PV2T_000381
720    129951 PV2T_000382
721    129951 PV2T_000383
722    129951 PV2T_000384
723    129951 PV2T_000385
724    129951 PV2T_000386
725    129951 PV2T_000387
726    129951 PV2T_000388
727    129951 PV2T_000389
728    129951 PV2T_000390
729    129951 PV2T_000391
730    129951 PV2T_000392
731    129951 PV2T_000393
732    129951 PV2T_000394
733    129951 PV2T_000395
734    129951 PV2T_000396
735    129951 PV2T_000397
736    129951 PV2T_000398
737    129951 PV2T_000399
738    129951 PV2T_000400
739    129951 PV2T_000401
740    129951 PV2T_000402
741    129951 PV2T_000403
742    129951 PV2T_000404
743    129951 PV2T_000405
744    129951 PV2T_000406
745    129951 PV2T_000407
746    129951 PV2T_000408
747    129951 PV2T_000409
748    129951 PV2T_000410
749    129951 PV2T_000411
750    129951 PV2T_000412
751    129951 PV2T_000413
752    129951 PV2T_000414
753    129951 PV2T_000415
754    129951 PV2T_000416
755    129951 PV2T_000417
756    129951 PV2T_000418
757    129951 PV2T_000419
758    129951 PV2T_000420
759    129951 PV2T_000421
760    129951 PV2T_000422
761    129951 PV2T_000423
762    129951 PV2T_000424
763    129951 PV2T_000425
764    129951 PV2T_000426
765    129951 PV2T_000427
766    129951 PV2T_000428
767    129951 PV2T_000429
768    129951 PV2T_000430
769    129951 PV2T_000431
770    129951 PV2T_000432
771    129951 PV2T_000433
772    129951 PV2T_000434
773    129951 PV2T_000435
774    129951 PV2T_000436
775    129951 PV2T_000437
776    129951 PV2T_000438
777    129951 PV2T_000439
778    129951 PV2T_000440
779    129951 PV2T_000441
780    129951 PV2T_000442
781    129951 PV2T_000443
782    129951 PV2T_000444
783    129951 PV2T_000445
784    129951 PV2T_000446
785    129951 PV2T_000447
786    129951 PV2T_000448
787    129951 PV2T_000449
788    129951 PV2T_000450
789    129951 PV2T_000451
790    129951 PV2T_000452
791    129951 PV2T_000453
792    129951 PV2T_000454
793    129951 PV2T_000455
794    129951 PV2T_000456
795    129951 PV2T_000457
796    129951 PV2T_000458
797    129951 PV2T_000459
798    129951 PV2T_000460
799    129951 PV2T_000461
800    129951 PV2T_000462
801    129951 PV2T_000463
802    129951 PV2T_000464
803    129951 PV2T_000465
804    129951 PV2T_000466
805    129951 PV2T_000467
806    129951 PV2T_000468
807    129951 PV2T_000469
808    129951 PV2T_000470
809    129951 PV2T_000471
810    129951 PV2T_000472
811    129951 PV2T_000473
812    129951 PV2T_000474
813    129951 PV2T_000475
814    129951 PV2T_000476
815    129951 PV2T_000477
816    129951 PV2T_012378
817    129951 PV2T_012386
818    129951 PV2T_012387
819    129951 PV2T_012388
820    129951 PV2T_012407
821    129951 PV2T_012408
822    129951 PV2T_012409
823    129951 PV2T_012416
824    129951 PV2T_012417
825    129951 PV2T_012418
826    129951 PV2T_012419
827    129951 PV2T_012426
828    129951 PV2T_012430
829    129951 PV2T_012431
830    129951 PV2T_012432
831    129951 PV2T_012433
832    129951 PV2T_012461
833    129951 PV2T_012462
834    129951 PV2T_012463
835    129951 PV2T_012494
836    129951 PV2T_012495
837    129951 PV2T_012497
838    129951 PV2T_012498
839    129951 PV2T_012504
840    129951 PV2T_012505
841    129951 PV2T_012510
842    129951 PV2T_012523
843    129951 PV2T_012527
844    129951 PV2T_012533
845    129951 PV2T_012535
846    129951 PV2T_012538
847    129951 PV2T_012544
848    129951 PV2T_012548
849    129951 PV2T_012550
850    129951 PV2T_012553
851    129951 PV2T_012556
852    129951 PV2T_012559
853    129951 PV2T_012576
854    129951 PV2T_012577
855    129951 PV2T_012585
856    129951 PV2T_012586
857    129951 PV2T_012604
858    129951 PV2T_012608
859    129951 PV2T_012609
860    129951 PV2T_012610
861    129951 PV2T_012617
862    129951 PV2T_012618
863    129951 PV2T_012647
864    129951 PV2T_012648
865    129951 PV2T_012649
866    129951 PV2T_012650
867    129951 PV2T_012651
868    129951 PV2T_012652
869    129951 PV2T_012653
870    129951 PV2T_012654
871    129951 PV2T_012672
872    129951 PV2T_012673
873    129951 PV2T_012674
874    129951 PV2T_012675
875    129951 PV2T_012676
876    129951 PV2T_012677
877    129951 PV2T_012678
878    129951 PV2T_012685
879    129951 PV2T_012687
880    129951 PV2T_012713
881    129951 PV2T_012714
882    129951 PV2T_012715
